Num_ID	Leaf	Num_ID.x	Directory	GSL_Plates_Run	GSL_Plate	HPLC_PlatePosition	HPLC_Plate	HPLC_Col	HPLC_Row	Plate_Pos	Exp_Tray.x	Geno1	Surface1	Iso1	Treatment	X3MSO	Q3MSO	X4MSO	Q4MSO	X5MSO	Q5MSO	X7MSO	Q7MSO	X4MT	Q4MT	X8MSO	Q8MSO	I3M	QI3M	X4MI3M	Q4MI3M	X6MSO	Q6MSO	X4OHI3M	Q_4OHI3M	P3m_like	QL_3MSO	QL_4MSO	QL_5MSO	QL_6MSO	QL_7MSO	QL_4MT	QL_8MSO	QL_I3M	QL_4MI3M	QL_4OHI3M	Num_ID.y	Genotype	IsoSur	Isolate	Surface	Image	Exp_Tray.y	Image_Num	Lesion.0.m.cx	Lesion.0.m.cy	Lesion.0.m.majoraxis	Lesion.0.m.eccentricity	Lesion.0.m.theta	Lesion.0.s.area	Lesion.0.s.perimeter	Lesion.0.s.radius.mean	Lesion.0.s.radius.sd	Lesion.0.s.radius.min	Lesion.Size	Leaf.Size	Lesion.Prop	Leaf.Grn	Leaf.Ylw	Lesion.Grn	Lesion.Ylw	LEFcm	LEScm	RemainLFcm	LESPropcm	LEFYlwcm	LEFGrncm	LesPercm
11	T11-Pad3-U-DavisNavel	146	CC_FEB42019-1CB-1101.D	P9P14	P09	P1-C-02	P1	C	2	GSL_P09-C-2	T11	Pad3	U	DavisNavel	Treatment	24.95461	0.000120102	519.54364	0.001839024	48.46115	0.000162976	99.68108	0.000412993	0	0	182.18826	0.000754833	735.53369	0.000840427	289.62952	0.000285287	38.77449	0.000145593	111.24479	0.000109577	95.94632	0.000960814	0.014712188	0.00130381	0.00116474	0.003303946	0	0.00603866	0.00672342	0.0022823	0.000876616	46	Pad3	DavisNavel-U	DavisNavel	Up	T11_IMG_4100	T11	4100	3683.194079	1345.046053	34.68244425	0.7527816	-0.25907631	608	87	13.74871762	2.41944736	9.249638901	608	16620	0.036582431	7574	7536	0	394	2.088821412	0.076414165	2.012407247	4.60E-06	0.947133463	0.951909349	0.975336323
12	T11-m2829-D-DavisNavel	194	CC_FEB42019-1GB-1501.D	P9P14	P09	P1-G-02	P1	G	2	GSL_P09-G-2	T11	m2829	D	DavisNavel	Treatment	0	0	0	0	0	0	0	0	0	0	0	0	2383.34521	0.002723232	625.33203	0.000615957	0	0	169.78708	0.000167242	38.92476	0	0	0	0	0	0	0	0.021785854	0.004927657	0.001337933	20	m2829	DavisNavel-D	DavisNavel	Down	T11_IMG_4100	T11	4100	4006.595166	535.939577	23.37579347	0.607355006	0.963617188	331	65	9.79194132	1.277577676	7.015991877	331	23311	0.014199305	4756	17962	0	162	2.929754268	0.041600475	2.888153794	1.78E-06	2.257485572	0.597739749	0.728699552
13	T11-m2829-D-Rasp	121	CC_FEB42019-1AA-0101.D	P9P14	P09	P1-A-01	P1	A	1	GSL_P09-A-1	T11	m2829	D	Rasp	Treatment	0	0	0	0	0	0	0	0	0	0	0	0	1688.69775	0.001929521	460.50662	0.000453603	0	0	538.1001	0.000530033	132.52164	0	0	0	0	0	0	0	0.01543617	0.003628822	0.004240264	18	m2829	Rasp-D	Rasp	Down	T11_IMG_4100	T11	4100	3208.170213	512.8333333	37.79422589	0.637937081	-0.076032812	846	99	16.0428223	1.957918233	12.49995817	846	24325	0.034779034	8184	14762	0	302	3.057194997	0.106326288	2.950868708	4.37E-06	1.855305757	1.028574876	1.109865471
14	T11-m2829-U-DavisNavel	205	CC_FEB42019-1HA-0801.D	P9P14	P09	P1-H-01	P1	H	1	GSL_P09-H-1	T11	m2829	U	DavisNavel	Treatment	0	0	0	0	0	0	0	0	0	0	0	0	1449.78198	0.001656534	247.74699	0.000244033	0	0	151.65173	0.000149378	94.01518	0	0	0	0	0	0	0	0.013252272	0.001952262	0.001195026	19	m2829	DavisNavel-U	DavisNavel	Up	T11_IMG_4100	T11	4100	3626.663812	509.0685225	28.48554102	0.667393701	0.032704994	467	76	11.81414959	1.538000981	8.747625321	467	16263	0.028715489	4058	11320	0	236	2.043953226	0.058693117	1.98526011	3.61E-06	1.422711094	0.510014277	0.852017937
15	T11-m3451-D-DavisNavel	206	CC_FEB42019-1HB-1601.D	P9P14	P09	P1-H-02	P1	H	2	GSL_P09-H-2	T11	m3451	D	DavisNavel	Treatment	45.59028	0.000219417	928.41724	0.003286309	53.5305	0.000180025	75.76855	0.00031392	22.2065	7.57E-05	139.59709	0.000578371	30.64119	3.50E-05	25.38391	2.50E-05	24.14188	9.06E-05	464.4064	0.000457444	70.72449	0.001755339	0.026290475	0.001440197	0.000725194	0.002511361	0.000605321	0.004626969	0.000280087	0.000200027	0.003659553	30	m3451	DavisNavel-D	DavisNavel	Down	T11_IMG_4100	T11	4100	4016.044218	712.8265306	26.08916664	0.831402673	-0.264403467	294	61	9.381599615	2.090043419	5.380072121	294	22699	0.012952112	2551	17014	0	89	2.852837379	0.03695027	2.815887108	1.63E-06	2.138339802	0.320612721	0.683856502
16	T11-m3451-D-Rasp	133	CC_FEB42019-1BA-0201.D	P9P14	P09	P1-B-01	P1	B	1	GSL_P09-B-1	T11	m3451	D	Rasp	Treatment	29.93011	0.000144048	630.87189	0.002233091	42.55676	0.00014312	66.98158	0.000277514	13.91258	4.74E-05	129.49498	0.000536517	20.94695	2.39E-05	57.7459	5.69E-05	28.93704	0.000108654	384.92331	0.000379153	147.75459	0.001152384	0.017864728	0.001144957	0.000869235	0.002220116	0.000379239	0.004292133	0.000191473	0.000455041	0.003033221	28	m3451	Rasp-D	Rasp	Down	T11_IMG_4100	T11	4100	3216.266277	775.4491228	75.08837207	0.797605819	0.191220282	2565	188	29.14964678	6.12173452	20.24630546	2565	18711	0.137085137	3598	10073	58	1198	2.351620785	0.322372258	2.029248527	1.72E-05	1.265986648	0.452200929	2.107623318
17	T11-m3451-U-DavisNavel	122	CC_FEB42019-1AB-0901.D	P9P14	P09	P1-A-02	P1	A	2	GSL_P09-A-2	T11	m3451	U	DavisNavel	Treatment	91.60004	0.000440854	1453.46326	0.00514481	40.90233	0.000137556	30.94039	0.000128191	269.46036	0.000918143	182.41254	0.000755762	0	0	20.11665	1.98E-05	0	0	106.24681	0.000104654	35.11622	0.003526829	0.041158477	0.001100446	0	0.001025524	0.007345146	0.006046094	0	0.000158521	0.000837232	29	m3451	DavisNavel-U	DavisNavel	Up	T11_IMG_4100	T11	4100	3642.752941	785.5911765	23.74202288	0.618968018	-0.877983634	340	64	9.992487748	1.260616297	7.506149822	340	16407	0.020722862	12513	3537	6	160	2.062051318	0.042731605	2.019319713	2.60E-06	0.444534376	1.572648756	0.717488789
18	T11-tgg12-D-DavisNavel	159	CC_FEB42019-1DC-2001.D	P9P14	P09	P1-D-03	P1	D	3	GSL_P09-D-3	T11	tgg12	D	DavisNavel	Treatment	24.44081	0.000117629	635.37427	0.002249028	41.78009	0.000140508	73.90812	0.000306212	26.13812	8.91E-05	104.34738	0.000432326	547.06458	0.000625081	187.46625	0.000184656	39.524	0.000148407	457.45142	0.000450593	162.75259	0.000941032	0.017992225	0.001124062	0.001187255	0.002449697	0.000712492	0.003458611	0.005000647	0.001477246	0.003604747	64	tgg12	DavisNavel-D	DavisNavel	Down	T11_IMG_4100	T11	4100	3917.714565	1841.292278	42.68157476	0.691898284	1.052505636	1023	109	17.7818751	2.287555928	13.71242945	1023	18564	0.055106658	3832	11412	485	414	2.333145649	0.128571859	2.20457379	6.93E-06	1.434273764	0.481610328	1.221973094
19	T11-tgg12-D-Rasp	181	CC_FEB42019-1FA-0601.D	P9P14	P09	P1-F-01	P1	F	1	GSL_P09-F-1	T11	tgg12	D	Rasp	Treatment	70.34674	0.000338566	769.36932	0.002723329	43.57891	0.000146557	29.5925	0.000122606	28.69576	9.78E-05	99.63926	0.00041282	771.07788	0.000881041	484.80515	0.000477537	20.98023	7.88E-05	130.24606	0.000128293	101.54156	0.002708524	0.021786632	0.001172457	0.000630221	0.000980848	0.00078221	0.00330256	0.007048324	0.003820296	0.001026347	66	tgg12	Rasp-D	Rasp	Down	T11_IMG_4100	T11	4100	3201.125	1819.84117	55.40951012	0.680512121	-0.099281157	1744	140	23.3056448	3.06110923	18.33979169	1744	20726	0.084145518	3322	15139	56	1091	2.604868387	0.219187999	2.385680388	1.06E-05	1.902687567	0.41751292	1.569506726
20	T11-tgg12-U-DavisNavel	170	CC_FEB42019-1EB-1301.D	P9P14	P09	P1-E-02	P1	E	2	GSL_P09-E-2	T11	tgg12	U	DavisNavel	Treatment	35.19325	0.000169378	409.84097	0.00145071	41.24031	0.000138692	72.13192	0.000298853	0	0	124.87867	0.000517391	616.54205	0.000704467	341.81171	0.000336687	30.57301	0.000114797	0	0	84.61794	0.001355028	0.01160568	0.001109539	0.000918377	0.002390824	0	0.004139124	0.005635732	0.002693499	0	63	tgg12	DavisNavel-U	DavisNavel	Up	T11_IMG_4100	T11	4100	3655.039474	1788.559211	30.28656139	0.51698019	-0.106582151	608	84	13.44883383	1.216867944	11.36276316	608	15027	0.040460504	5225	9143	0	369	1.888611273	0.076414165	1.812197108	5.09E-06	1.149103139	0.656684229	0.941704036
21	T12-Col0-D-01_05_16	128	CC_FEB42019-1AH-5701.D	P9P14	P09	P1-A-08	P1	A	8	GSL_P09-A-8	T12	Col0	D	01_05_16	Treatment	80.35316	0.000386725	1352.58789	0.004787742	63.64183	0.000214029	59.99928	0.000248586	0	0	145.33803	0.000602157	1388.02954	0.001585975	278.04645	0.000273878	33.29404	0.000125014	242.18227	0.000238552	145.24223	0.003093796	0.038301937	0.001712235	0.001000114	0.001988686	0	0.004817253	0.012687801	0.002191024	0.001908412	6	Col0	01_05_16-D	01_05_16	Down	T12_IMG_4102	T12	4102	2208.259481	413.750499	27.82794079	0.544698545	0.411299873	501	76	12.19875247	1.220139927	9.192623578	501	26870	0.018645329	4449	15308	0	102	3.377053631	0.062966277	3.314087353	2.34E-06	1.923927688	0.559155623	0.852017937
22	T12-Col0-D-02_04_12	201	CC_FEB42019-1GI-7101.D	P9P14	P09	P1-G-09	P1	G	9	GSL_P09-G-9	T12	Col0	D	02_04_12	Treatment	110.4249	0.000531454	1853.90002	0.006562232	70.94288	0.000238583	50.24522	0.000208173	34.33266	0.000116983	152.86099	0.000633325	1368.1709	0.001563284	383.82761	0.000378073	0	0	227.28925	0.000223882	116.18475	0.004251633	0.052497854	0.001908664	0	0.001665386	0.000935865	0.005066603	0.012506275	0.003024587	0.001791054	8	Col0	02_04_12-D	02_04_12	Down	T12_IMG_4102	T12	4102	2915.903861	356.5996848	47.04700776	0.659035049	-0.399580743	1269	126	19.86768621	2.824221827	16.05141807	1269	29357	0.043226488	6141	17121	0	252	3.689622755	0.159489433	3.530133323	5.43E-06	2.151787689	0.7718082	1.412556054
23	T12-Col0-D-02_04_20	150	CC_FEB42019-1CF-4301.D	P9P14	P09	P1-C-06	P1	C	6	GSL_P09-C-6	T12	Col0	D	02_04_20	Treatment	155.44128	0.000748109	4001.82446	0.014165219	96.62428	0.00032495	49.62266	0.000205594	158.68988	0.00054071	361.28238	0.001496846	2455.04834	0.00280516	887.32404	0.000874021	22.10741	8.30E-05	0	0	62.51135	0.005984875	0.11332175	0.002599603	0.000664081	0.001644751	0.004325684	0.011974764	0.022441283	0.006992171	0	4	Col0	02_04_20-D	02_04_20	Down	T12_IMG_4102	T12	4102	1453.144578	386.060994	53.87318539	0.788589911	0.415449727	1328	140	20.82821516	4.488175403	11.4623118	1328	22423	0.059224903	3743	15681	20	414	2.81814937	0.166904623	2.651244747	7.44E-06	1.970806773	0.470424702	1.569506726
24	T12-Col0-D-Apple517	179	CC_FEB42019-1EK-8501.D	P9P14	P09	P1-E-11	P1	E	11	GSL_P09-E-11	T12	Col0	D	Apple517	Treatment	56.38838	0.000271387	834.17615	0.002952725	46.18683	0.000155328	59.34533	0.000245876	0	0	130.2639	0.000539702	981.43689	0.001121399	267.42416	0.000263415	0	0	216.3024	0.00021306	156.48717	0.002171093	0.023621801	0.001242622	0	0.001967011	0	0.004317619	0.008971189	0.00210732	0.001704477	10	Col0	Apple517-D	Apple517	Down	T12_IMG_4102	T12	4102	3725.164018	373.8044835	74.59082008	0.57208331	0.191999287	3524	209	33.20927751	3.245099139	26.07122767	3524	25590	0.137710043	6407	9624	0	1027	3.216181705	0.442900521	2.773281184	1.73E-05	1.209555792	0.805239398	2.343049327
25	T12-Col0-D-Ctrl	172	CC_FEB42019-1ED-2901.D	P9P14	P09	P1-E-04	P1	E	4	GSL_P09-E-4	T12	Col0	D	Ctrl	Control	153.42722	0.000738416	3269.94995	0.01157461	87.86344	0.000295487	48.10585	0.00019931	305.03482	0.001039358	269.94882	0.001118437	1444.52563	0.001650528	450.74945	0.000443992	0	0	70.23401	6.92E-05	16.13342	0.005907329	0.092596878	0.002363899	0	0.001594476	0.008314861	0.008947498	0.013204224	0.003551935	0.000553449	2	Col0	Ctrl-D	Ctrl	Down	T12_IMG_4102	T12	4102	755	383	10.64229425	0	0	89	28	4.877472991	0.259615252	4.472135955	89	22438	0.003966485	4463	17412	0	0	2.820034587	0.011185626	2.808848961	4.99E-07	2.188360916	0.56091516	0.313901345
26	T12-Col0-U-01_05_16	139	CC_FEB42019-1BG-5001.D	P9P14	P09	P1-B-07	P1	B	7	GSL_P09-B-7	T12	Col0	U	01_05_16	Treatment	122.82229	0.00059112	2438.59546	0.008631872	88.55686	0.000297819	62.26564	0.000257976	75.50371	0.000257267	238.44258	0.000987902	1763.52722	0.002015022	480.97195	0.000473761	0	0	58.49135	5.76E-05	26.26432	0.004728963	0.069054979	0.002382555	0	0.002063805	0.002058135	0.007903219	0.016120177	0.00379009	0.000460916	5	Col0	01_05_16-U	01_05_16	Up	T12_IMG_4102	T12	4102	1838.09589	389.5303327	28.20904503	0.572681331	0.026769194	511	74	12.28666513	1.093870431	10.27674938	511	31222	0.016366665	26956	2812	43	328	3.924018179	0.064223089	3.859795089	2.06E-06	0.353415512	3.387862213	0.829596413
27	T12-Col0-U-02_04_12	212	CC_FEB42019-1HH-6401.D	P9P14	P09	P1-H-08	P1	H	8	GSL_P09-H-8	T12	Col0	U	02_04_12	Treatment	116.02383	0.000558401	2583.17212	0.009143629	81.59599	0.00027441	45.22862	0.000187389	49.52521	0.000168749	202.36292	0.000838419	1741.39478	0.001989733	917.2829	0.000903531	0	0	0	0	90.59837	0.004467206	0.073149032	0.002195278	0	0.00149911	0.001349994	0.006707352	0.015917867	0.007228249	0	7	Col0	02_04_12-U	02_04_12	Up	T12_IMG_4102	T12	4102	2585.371628	381.6128871	58.56159417	0.664018471	0.340870319	2002	152	24.96489437	2.83707944	20.12267713	2002	24789	0.080761628	17255	4875	21	1523	3.11551107	0.251613747	2.863897323	1.02E-05	0.612695811	2.168628969	1.704035874
28	T12-Col0-U-02_04_20	161	CC_FEB42019-1DE-3601.D	P9P14	P09	P1-D-05	P1	D	5	GSL_P09-D-5	T12	Col0	U	02_04_20	Treatment	63.74321	0.000306784	1030.11365	0.003646283	57.5407	0.000193511	57.27139	0.000237284	27.06642	9.22E-05	155.44983	0.000644051	1219.4408	0.001393344	686.80511	0.000676509	23.75481	8.92E-05	71.30756	7.02E-05	68.32993	0.002454272	0.029170265	0.001548089	0.000713567	0.00189827	0.000737796	0.00515241	0.011146753	0.005412069	0.000561908	3	Col0	02_04_20-U	02_04_20	Up	T12_IMG_4102	T12	4102	1105.952171	435.4823609	66.13396652	0.509642097	0.945846977	2948	179	30.23806899	1.914709451	26.45928249	2948	30470	0.096750903	15659	10834	0	1257	3.829505922	0.370508154	3.458997768	1.22E-05	1.361630035	1.968041786	2.006726457
29	T12-Col0-U-Apple517	190	CC_FEB42019-1FJ-7801.D	P9P14	P09	P1-F-10	P1	F	10	GSL_P09-F-10	T12	Col0	U	Apple517	Treatment	121.97247	0.00058703	2946.93555	0.010431239	98.07816	0.00032984	51.90646	0.000215056	149.74207	0.000510222	198.92589	0.000824179	2125.14331	0.002428208	758.67407	0.0007473	0	0	0	0	79.86836	0.004696243	0.083449911	0.002638718	0	0.001720448	0.004081778	0.006593432	0.019425664	0.005978401	0	9	Col0	Apple517-U	Apple517	Up	T12_IMG_4102	T12	4102	3292.340681	406.5961924	44.1488228	0.751585553	0.009425883	998	114	17.60354524	2.820936907	13.1071683	998	28853	0.034589124	22473	4692	91	542	3.626279435	0.12542983	3.500849605	4.35E-06	0.589696153	2.824433429	1.278026906
30	T12-Col0-U-Ctrl	183	CC_FEB42019-1FC-2201.D	P9P14	P09	P1-F-03	P1	F	3	GSL_P09-F-3	T12	Col0	U	Ctrl	Control	178.37448	0.000858483	3794.03516	0.013429709	104.26798	0.000350656	59.62154	0.000247021	284.10855	0.000968055	334.59497	0.001386276	2132.40527	0.002436506	593.51843	0.000584621	0	0	43.71834	4.31E-05	46.44749	0.006867861	0.107437672	0.002805251	0	0.001976166	0.007744437	0.011090206	0.019492044	0.004676964	0.000344503	1	Col0	Ctrl-U	Ctrl	Up	T12_IMG_4102	T12	4102	356	427	10.64229425	1.43E-06	0	89	28	4.877472991	0.259615252	4.472135955	89	27166	0.003276154	25628	1348	0	89	3.414255264	0.011185626	3.403069637	4.12E-07	0.169418247	3.22095759	0.313901345
31	T12-Cyp79-D-01_05_16	164	CC_FEB42019-1DH-6001.D	P9P14	P09	P1-D-08	P1	D	8	GSL_P09-D-8	T12	Cyp79	D	01_05_16	Treatment	0	0	92.8997	0.000328836	0	0	0	0	0	0	25.57783	0.000105973	0	0	0	0	0	0	0	0	85.54163	0	0.002630689	0	0	0	0	0.000847781	0	0	0	31	Cyp79	01_05_16-D	01_05_16	Down	T12_IMG_4102	T12	4102	2217.856687	1178.278592	118.0953118	0.690466305	0.196756449	7843	310	50.14317536	6.672393973	38.23677289	7843	14856	0.527934841	1121	4893	67	5004	1.867119789	0.985717589	0.8814022	6.64E-05	0.614958073	0.140888616	3.475336323
32	T12-Cyp79-D-02_04_12	142	CC_FEB42019-1BJ-7401.D	P9P14	P09	P1-B-10	P1	B	10	GSL_P09-B-10	T12	Cyp79	D	02_04_12	Treatment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	Cyp79	02_04_12-D	02_04_12	Down	T12_IMG_4102	T12	4102	2919.922	1195.534197	128.2362579	0.738371339	-0.182780926	8641	322	53.14272606	8.080042069	41.46338934	8641	11783	0.733344649	454	843	1761	4985	1.480901486	1.086011181	0.394890305	9.22E-05	0.105949245	0.057059261	3.609865471
